season,seasontype,week,poll,rank,team,conference,firstplacevotes
2010,regular,9,AP Top 25,17,South Carolina,SEC,0
2010,regular,9,AP Top 25,18,Iowa,Big Ten,0
2010,regular,9,AP Top 25,19,Arkansas,SEC,0
2010,regular,9,AP Top 25,20,Oklahoma State,Big 12,0
2010,regular,9,AP Top 25,21,Virginia Tech,ACC,0
2010,regular,9,AP Top 25,22,Miami,ACC,0
2010,regular,9,AP Top 25,23,Mississippi State,SEC,0
2010,regular,9,AP Top 25,24,USC,Pac-10,0
2010,regular,9,AP Top 25,25,Baylor,Big 12,0
2010,regular,9,Coaches Poll,1,Oregon,Pac-10,50
2010,regular,9,Coaches Poll,2,Boise State,Western Athletic,5
2010,regular,9,Coaches Poll,3,Auburn,SEC,3
2010,regular,9,Coaches Poll,4,TCU,Mountain West,1
2010,regular,9,Coaches Poll,5,Michigan State,Big Ten,0
2010,regular,9,Coaches Poll,6,Alabama,SEC,0
2010,regular,9,Coaches Poll,7,Utah,Mountain West,0
2010,regular,9,Coaches Poll,8,Missouri,Big 12,0
2010,regular,9,Coaches Poll,9,Wisconsin,Big Ten,0
2010,regular,9,Coaches Poll,10,Ohio State,Big Ten,0
2010,regular,9,Coaches Poll,11,Oklahoma,Big 12,0
2010,regular,9,Coaches Poll,12,Nebraska,Big 12,0
2010,regular,9,Coaches Poll,13,LSU,SEC,0
2010,regular,9,Coaches Poll,14,Stanford,Pac-10,0
2010,regular,9,Coaches Poll,15,Florida State,ACC,0
2010,regular,9,Coaches Poll,16,Arizona,Pac-10,0
2010,regular,9,Coaches Poll,17,South Carolina,SEC,0
2010,regular,9,Coaches Poll,18,Arkansas,SEC,0
2010,regular,9,Coaches Poll,19,Iowa,Big Ten,0
2010,regular,9,Coaches Poll,20,Oklahoma State,Big 12,0
2010,regular,9,Coaches Poll,21,Virginia Tech,ACC,0
2010,regular,9,Coaches Poll,22,Miami,ACC,0
2010,regular,9,Coaches Poll,23,Mississippi State,SEC,0
2010,regular,9,Coaches Poll,24,Baylor,Big 12,0
2010,regular,9,Coaches Poll,25,Michigan,Big Ten,0
2010,regular,10,BCS Standings,1,Oregon,Pac-10,0
2010,regular,10,BCS Standings,2,Auburn,SEC,0
2010,regular,10,BCS Standings,3,TCU,Mountain West,0
2010,regular,10,BCS Standings,4,Boise State,Western Athletic,0
2010,regular,10,BCS Standings,5,Utah,Mountain West,0
2010,regular,10,BCS Standings,6,Alabama,SEC,0
2010,regular,10,BCS Standings,7,Nebraska,Big 12,0
2010,regular,10,BCS Standings,8,Oklahoma,Big 12,0
2010,regular,10,BCS Standings,9,Wisconsin,Big Ten,0
2010,regular,10,BCS Standings,10,LSU,SEC,0
2010,regular,10,BCS Standings,11,Ohio State,Big Ten,0
2010,regular,10,BCS Standings,12,Missouri,Big 12,0
2010,regular,10,BCS Standings,13,Stanford,Pac-10,0
2010,regular,10,BCS Standings,14,Michigan State,Big Ten,0
2010,regular,10,BCS Standings,15,Arizona,Pac-10,0
2010,regular,10,BCS Standings,16,Iowa,Big Ten,0
2010,regular,10,BCS Standings,17,Oklahoma State,Big 12,0
2010,regular,10,BCS Standings,18,Arkansas,SEC,0
2010,regular,10,BCS Standings,19,South Carolina,SEC,0
2010,regular,10,BCS Standings,20,Mississippi State,SEC,0
2010,regular,10,BCS Standings,21,Baylor,Big 12,0
2010,regular,10,BCS Standings,22,Virginia Tech,ACC,0
2010,regular,10,BCS Standings,23,Nevada,Western Athletic,0
2010,regular,10,BCS Standings,24,Florida State,ACC,0
2010,regular,10,BCS Standings,25,NC State,ACC,0
2010,regular,10,AP Top 25,1,Oregon,Pac-10,49
2010,regular,10,AP Top 25,2,Boise State,Western Athletic,7
2010,regular,10,AP Top 25,3,Auburn,SEC,2
2010,regular,10,AP Top 25,4,TCU,Mountain West,2
2010,regular,10,AP Top 25,5,Alabama,SEC,0
2010,regular,10,AP Top 25,6,Utah,Mountain West,0
2010,regular,10,AP Top 25,7,Wisconsin,Big Ten,0
2010,regular,10,AP Top 25,8,Ohio State,Big Ten,0
2010,regular,10,AP Top 25,9,Nebraska,Big 12,0
2010,regular,10,AP Top 25,10,Stanford,Pac-10,0
2010,regular,10,AP Top 25,11,Oklahoma,Big 12,0
2010,regular,10,AP Top 25,12,LSU,SEC,0
2010,regular,10,AP Top 25,13,Arizona,Pac-10,0
2010,regular,10,AP Top 25,14,Missouri,Big 12,0
2010,regular,10,AP Top 25,15,Iowa,Big Ten,0
2010,regular,10,AP Top 25,16,Michigan State,Big Ten,0
2010,regular,10,AP Top 25,17,Arkansas,SEC,0
2010,regular,10,AP Top 25,18,South Carolina,SEC,0
2010,regular,10,AP Top 25,19,Oklahoma State,Big 12,0
2010,regular,10,AP Top 25,20,Virginia Tech,ACC,0
2010,regular,10,AP Top 25,21,Mississippi State,SEC,0
2010,regular,10,AP Top 25,22,Baylor,Big 12,0
2010,regular,10,AP Top 25,23,NC State,ACC,0
2010,regular,10,AP Top 25,24,Florida State,ACC,0
2010,regular,10,AP Top 25,25,Nevada,Western Athletic,0
2010,regular,10,Coaches Poll,1,Oregon,Pac-10,51
2010,regular,10,Coaches Poll,2,Auburn,SEC,4
2010,regular,10,Coaches Poll,3,Boise State,Western Athletic,3
2010,regular,10,Coaches Poll,4,TCU,Mountain West,1
2010,regular,10,Coaches Poll,5,Alabama,SEC,0
2010,regular,10,Coaches Poll,6,Utah,Mountain West,0
2010,regular,10,Coaches Poll,7,Wisconsin,Big Ten,0
2010,regular,10,Coaches Poll,8,Ohio State,Big Ten,0
2010,regular,10,Coaches Poll,9,Oklahoma,Big 12,0
2010,regular,10,Coaches Poll,10,Nebraska,Big 12,0
2010,regular,10,Coaches Poll,11,LSU,SEC,0
2010,regular,10,Coaches Poll,12,Stanford,Pac-10,0
2010,regular,10,Coaches Poll,13,Arizona,Pac-10,0
2010,regular,10,Coaches Poll,14,Missouri,Big 12,0
2010,regular,10,Coaches Poll,15,Michigan State,Big Ten,0
2010,regular,10,Coaches Poll,16,Iowa,Big Ten,0
2010,regular,10,Coaches Poll,17,South Carolina,SEC,0
2010,regular,10,Coaches Poll,18,Oklahoma State,Big 12,0
2010,regular,10,Coaches Poll,19,Arkansas,SEC,0
2010,regular,10,Coaches Poll,20,Virginia Tech,ACC,0
2010,regular,10,Coaches Poll,21,Mississippi State,SEC,0
2010,regular,10,Coaches Poll,22,Baylor,Big 12,0
2010,regular,10,Coaches Poll,23,Nevada,Western Athletic,0
2010,regular,10,Coaches Poll,24,Florida State,ACC,0
2010,regular,10,Coaches Poll,25,NC State,ACC,0
2010,regular,11,BCS Standings,1,Oregon,Pac-10,0
2010,regular,11,BCS Standings,2,Auburn,SEC,0
2010,regular,11,BCS Standings,3,TCU,Mountain West,0
2010,regular,11,BCS Standings,4,Boise State,Western Athletic,0
2010,regular,11,BCS Standings,5,LSU,SEC,0
2010,regular,11,BCS Standings,6,Stanford,Pac-10,0
2010,regular,11,BCS Standings,7,Wisconsin,Big Ten,0
2010,regular,11,BCS Standings,8,Nebraska,Big 12,0
2010,regular,11,BCS Standings,9,Ohio State,Big Ten,0
2010,regular,11,BCS Standings,10,Oklahoma State,Big 12,0
2010,regular,11,BCS Standings,11,Michigan State,Big Ten,0
2010,regular,11,BCS Standings,12,Alabama,SEC,0
2010,regular,11,BCS Standings,13,Iowa,Big Ten,0
2010,regular,11,BCS Standings,14,Utah,Mountain West,0
2010,regular,11,BCS Standings,15,Arkansas,SEC,0
2010,regular,11,BCS Standings,16,Oklahoma,Big 12,0
2010,regular,11,BCS Standings,17,Missouri,Big 12,0
2010,regular,11,BCS Standings,18,Arizona,Pac-10,0
2010,regular,11,BCS Standings,19,Mississippi State,SEC,0
2010,regular,11,BCS Standings,20,Virginia Tech,ACC,0
2010,regular,11,BCS Standings,21,Nevada,Western Athletic,0
2010,regular,11,BCS Standings,22,Florida,SEC,0
2010,regular,11,BCS Standings,23,South Carolina,SEC,0
2010,regular,11,BCS Standings,24,Kansas State,Big 12,0
2010,regular,11,BCS Standings,25,Texas A&M,Big 12,0
2010,regular,11,AP Top 25,1,Oregon,Pac-10,49
2010,regular,11,AP Top 25,2,Auburn,SEC,2
2010,regular,11,AP Top 25,3,TCU,Mountain West,2
2010,regular,11,AP Top 25,4,Boise State,Western Athletic,7
2010,regular,11,AP Top 25,5,LSU,SEC,0
2010,regular,11,AP Top 25,6,Wisconsin,Big Ten,0
2010,regular,11,AP Top 25,7,Stanford,Pac-10,0
2010,regular,11,AP Top 25,8,Ohio State,Big Ten,0
2010,regular,11,AP Top 25,9,Nebraska,Big 12,0
2010,regular,11,AP Top 25,10,Michigan State,Big Ten,0
2010,regular,11,AP Top 25,11,Alabama,SEC,0
2010,regular,11,AP Top 25,12,Oklahoma State,Big 12,0
2010,regular,11,AP Top 25,13,Iowa,Big Ten,0
2010,regular,11,AP Top 25,14,Arkansas,SEC,0
2010,regular,11,AP Top 25,15,Utah,Mountain West,0
2010,regular,11,AP Top 25,16,Virginia Tech,ACC,0
2010,regular,11,AP Top 25,17,Mississippi State,SEC,0
2010,regular,11,AP Top 25,18,Arizona,Pac-10,0
2010,regular,11,AP Top 25,19,Oklahoma,Big 12,0
2010,regular,11,AP Top 25,20,Missouri,Big 12,0
2010,regular,11,AP Top 25,21,Nevada,Western Athletic,0
2010,regular,11,AP Top 25,22,South Carolina,SEC,0
2010,regular,11,AP Top 25,23,Texas A&M,Big 12,0
2010,regular,11,AP Top 25,24,Florida,SEC,0
2010,regular,11,AP Top 25,25,UCF,Conference USA,0
2010,regular,11,Coaches Poll,1,Oregon,Pac-10,50
2010,regular,11,Coaches Poll,2,Auburn,SEC,4
2010,regular,11,Coaches Poll,3,TCU,Mountain West,2
2010,regular,11,Coaches Poll,4,Boise State,Western Athletic,3
2010,regular,11,Coaches Poll,5,Wisconsin,Big Ten,0
2010,regular,11,Coaches Poll,6,LSU,SEC,0
2010,regular,11,Coaches Poll,7,Ohio State,Big Ten,0
2010,regular,11,Coaches Poll,8,Nebraska,Big 12,0
2010,regular,11,Coaches Poll,9,Stanford,Pac-10,0
2010,regular,11,Coaches Poll,10,Michigan State,Big Ten,0
2010,regular,11,Coaches Poll,11,Oklahoma State,Big 12,0
2010,regular,11,Coaches Poll,12,Alabama,SEC,0
2010,regular,11,Coaches Poll,13,Iowa,Big Ten,0
2010,regular,11,Coaches Poll,14,Arkansas,SEC,0
2010,regular,11,Coaches Poll,15,Utah,Mountain West,0
2010,regular,11,Coaches Poll,16,Oklahoma,Big 12,0
2010,regular,11,Coaches Poll,17,Virginia Tech,ACC,0
2010,regular,11,Coaches Poll,18,Mississippi State,SEC,0
2010,regular,11,Coaches Poll,19,Arizona,Pac-10,0
2010,regular,11,Coaches Poll,20,Missouri,Big 12,0
2010,regular,11,Coaches Poll,21,Nevada,Western Athletic,0
2010,regular,11,Coaches Poll,22,South Carolina,SEC,0
2010,regular,11,Coaches Poll,23,UCF,Conference USA,0
2010,regular,11,Coaches Poll,24,Florida,SEC,0
2010,regular,11,Coaches Poll,25,Texas A&M,Big 12,0
2010,regular,12,BCS Standings,1,Oregon,Pac-10,0
2010,regular,12,BCS Standings,2,Auburn,SEC,0
2010,regular,12,BCS Standings,3,TCU,Mountain West,0
2010,regular,12,BCS Standings,4,Boise State,Western Athletic,0
2010,regular,12,BCS Standings,5,LSU,SEC,0
2010,regular,12,BCS Standings,6,Stanford,Pac-10,0
2010,regular,12,BCS Standings,7,Wisconsin,Big Ten,0
2010,regular,12,BCS Standings,8,Nebraska,Big 12,0
2010,regular,12,BCS Standings,9,Ohio State,Big Ten,0
2010,regular,12,BCS Standings,10,Oklahoma State,Big 12,0
2010,regular,12,BCS Standings,11,Alabama,SEC,0
2010,regular,12,BCS Standings,12,Michigan State,Big Ten,0
2010,regular,12,BCS Standings,13,Arkansas,SEC,0
2010,regular,12,BCS Standings,14,Oklahoma,Big 12,0
2010,regular,12,BCS Standings,15,Missouri,Big 12,0
2010,regular,12,BCS Standings,16,Virginia Tech,ACC,0
2010,regular,12,BCS Standings,17,South Carolina,SEC,0
2010,regular,12,BCS Standings,18,Nevada,Western Athletic,0
2010,regular,12,BCS Standings,19,Texas A&M,Big 12,0
2010,regular,12,BCS Standings,20,Iowa,Big Ten,0
2010,regular,12,BCS Standings,21,Mississippi State,SEC,0
2010,regular,12,BCS Standings,22,Arizona,Pac-10,0
2010,regular,12,BCS Standings,23,Utah,Mountain West,0
2010,regular,12,BCS Standings,24,Miami,ACC,0
2010,regular,12,BCS Standings,25,Florida State,ACC,0
2010,regular,12,AP Top 25,1,Oregon,Pac-10,38
2010,regular,12,AP Top 25,2,Auburn,SEC,12
2010,regular,12,AP Top 25,3,Boise State,Western Athletic,9
2010,regular,12,AP Top 25,4,TCU,Mountain West,1
2010,regular,12,AP Top 25,5,LSU,SEC,0
2010,regular,12,AP Top 25,6,Wisconsin,Big Ten,0
2010,regular,12,AP Top 25,7,Stanford,Pac-10,0
2010,regular,12,AP Top 25,8,Ohio State,Big Ten,0
2010,regular,12,AP Top 25,9,Nebraska,Big 12,0
2010,regular,12,AP Top 25,10,Alabama,SEC,0
2010,regular,12,AP Top 25,11,Michigan State,Big Ten,0
2010,regular,12,AP Top 25,12,Oklahoma State,Big 12,0
2010,regular,12,AP Top 25,13,Arkansas,SEC,0
2010,regular,12,AP Top 25,14,Virginia Tech,ACC,0
2010,regular,12,AP Top 25,15,Missouri,Big 12,0
2010,regular,12,AP Top 25,16,Oklahoma,Big 12,0
2010,regular,12,AP Top 25,17,South Carolina,SEC,0
2010,regular,12,AP Top 25,18,Texas A&M,Big 12,0
2010,regular,12,AP Top 25,19,Nevada,Western Athletic,0
2010,regular,12,AP Top 25,20,USC,Pac-10,0
2010,regular,12,AP Top 25,21,Iowa,Big Ten,0
2010,regular,12,AP Top 25,22,Mississippi State,SEC,0
2010,regular,12,AP Top 25,23,Arizona,Pac-10,0
2010,regular,12,AP Top 25,24,Miami,ACC,0
2010,regular,12,AP Top 25,25,Utah,Mountain West,0
2010,regular,12,Coaches Poll,1,Oregon,Pac-10,46
2010,regular,12,Coaches Poll,2,Auburn,SEC,6
2010,regular,12,Coaches Poll,3,Boise State,Western Athletic,5
2010,regular,12,Coaches Poll,4,TCU,Mountain West,2
2010,regular,12,Coaches Poll,5,Wisconsin,Big Ten,0
2010,regular,12,Coaches Poll,6,LSU,SEC,0
2010,regular,12,Coaches Poll,7,Ohio State,Big Ten,0
2010,regular,12,Coaches Poll,8,Stanford,Pac-10,0
2010,regular,12,Coaches Poll,9,Nebraska,Big 12,0
2010,regular,12,Coaches Poll,10,Oklahoma State,Big 12,0
2010,regular,12,Coaches Poll,11,Michigan State,Big Ten,0
2010,regular,12,Coaches Poll,12,Alabama,SEC,0
2010,regular,12,Coaches Poll,13,Arkansas,SEC,0
2010,regular,12,Coaches Poll,14,Oklahoma,Big 12,0
2010,regular,12,Coaches Poll,15,Virginia Tech,ACC,0
2010,regular,12,Coaches Poll,16,Missouri,Big 12,0
2010,regular,12,Coaches Poll,17,South Carolina,SEC,0
2010,regular,12,Coaches Poll,18,Nevada,Western Athletic,0
2010,regular,12,Coaches Poll,19,Texas A&M,Big 12,0
2010,regular,12,Coaches Poll,20,Iowa,Big Ten,0
2010,regular,12,Coaches Poll,21,Miami,ACC,0
2010,regular,12,Coaches Poll,22,Mississippi State,SEC,0
2010,regular,12,Coaches Poll,23,Arizona,Pac-10,0
2010,regular,12,Coaches Poll,24,Utah,Mountain West,0
2010,regular,12,Coaches Poll,25,Northwestern,Big Ten,0
2010,regular,13,BCS Standings,1,Oregon,Pac-10,0
2010,regular,13,BCS Standings,2,Auburn,SEC,0
2010,regular,13,BCS Standings,3,TCU,Mountain West,0
2010,regular,13,BCS Standings,4,Boise State,Western Athletic,0
2010,regular,13,BCS Standings,5,LSU,SEC,0
2010,regular,13,BCS Standings,6,Stanford,Pac-10,0
2010,regular,13,BCS Standings,7,Wisconsin,Big Ten,0
2010,regular,13,BCS Standings,8,Ohio State,Big Ten,0
2010,regular,13,BCS Standings,9,Oklahoma State,Big 12,0
2010,regular,13,BCS Standings,10,Michigan State,Big Ten,0
2010,regular,13,BCS Standings,11,Alabama,SEC,0
2010,regular,13,BCS Standings,12,Arkansas,SEC,0
2010,regular,13,BCS Standings,13,Oklahoma,Big 12,0
2010,regular,13,BCS Standings,14,Missouri,Big 12,0
2010,regular,13,BCS Standings,15,Nebraska,Big 12,0
2010,regular,13,BCS Standings,16,Virginia Tech,ACC,0
2010,regular,13,BCS Standings,17,Texas A&M,Big 12,0
2010,regular,13,BCS Standings,18,South Carolina,SEC,0
2010,regular,13,BCS Standings,19,Nevada,Western Athletic,0
2010,regular,13,BCS Standings,20,Utah,Mountain West,0
2010,regular,13,BCS Standings,21,Arizona,Pac-10,0
2010,regular,13,BCS Standings,22,Florida State,ACC,0
2010,regular,13,BCS Standings,23,NC State,ACC,0
2010,regular,13,BCS Standings,24,Iowa,Big Ten,0
2010,regular,13,BCS Standings,25,Mississippi State,SEC,0
2010,regular,13,AP Top 25,1,Oregon,Pac-10,37
2010,regular,13,AP Top 25,2,Auburn,SEC,13
2010,regular,13,AP Top 25,3,Boise State,Western Athletic,10
2010,regular,13,AP Top 25,4,TCU,Mountain West,0
2010,regular,13,AP Top 25,5,Wisconsin,Big Ten,0
2010,regular,13,AP Top 25,6,LSU,SEC,0
2010,regular,13,AP Top 25,7,Stanford,Pac-10,0
2010,regular,13,AP Top 25,8,Ohio State,Big Ten,0
2010,regular,13,AP Top 25,9,Alabama,SEC,0
2010,regular,13,AP Top 25,10,Oklahoma State,Big 12,0
2010,regular,13,AP Top 25,11,Michigan State,Big Ten,0
2010,regular,13,AP Top 25,12,Arkansas,SEC,0
2010,regular,13,AP Top 25,13,Virginia Tech,ACC,0
2010,regular,13,AP Top 25,14,Oklahoma,Big 12,0
2010,regular,13,AP Top 25,15,Missouri,Big 12,0
2010,regular,13,AP Top 25,16,Nebraska,Big 12,0
2010,regular,13,AP Top 25,17,Texas A&M,Big 12,0
2010,regular,13,AP Top 25,18,South Carolina,SEC,0
2010,regular,13,AP Top 25,19,Nevada,Western Athletic,0
2010,regular,13,AP Top 25,20,Arizona,Pac-10,0
2010,regular,13,AP Top 25,21,NC State,ACC,0
2010,regular,13,AP Top 25,22,Florida State,ACC,0
2010,regular,13,AP Top 25,23,Utah,Mountain West,0
2010,regular,13,AP Top 25,24,Iowa,Big Ten,0
2010,regular,13,AP Top 25,25,Mississippi State,SEC,0
2010,regular,13,Coaches Poll,1,Oregon,Pac-10,48
2010,regular,13,Coaches Poll,2,Auburn,SEC,4
2010,regular,13,Coaches Poll,3,Boise State,Western Athletic,5
2010,regular,13,Coaches Poll,4,TCU,Mountain West,2
2010,regular,13,Coaches Poll,5,Wisconsin,Big Ten,0
2010,regular,13,Coaches Poll,6,LSU,SEC,0
2010,regular,13,Coaches Poll,7,Ohio State,Big Ten,0
2010,regular,13,Coaches Poll,8,Stanford,Pac-10,0
2010,regular,13,Coaches Poll,9,Oklahoma State,Big 12,0
2010,regular,13,Coaches Poll,10,Michigan State,Big Ten,0
2010,regular,13,Coaches Poll,11,Alabama,SEC,0
2010,regular,13,Coaches Poll,12,Arkansas,SEC,0
2010,regular,13,Coaches Poll,13,Oklahoma,Big 12,0
2010,regular,13,Coaches Poll,14,Virginia Tech,ACC,0
2010,regular,13,Coaches Poll,15,Nebraska,Big 12,0
2010,regular,13,Coaches Poll,16,Missouri,Big 12,0
2010,regular,13,Coaches Poll,17,South Carolina,SEC,0
2010,regular,13,Coaches Poll,18,Texas A&M,Big 12,0
2010,regular,13,Coaches Poll,19,Nevada,Western Athletic,0
2010,regular,13,Coaches Poll,20,Arizona,Pac-10,0
2010,regular,13,Coaches Poll,21,Florida State,ACC,0
2010,regular,13,Coaches Poll,22,Utah,Mountain West,0
2010,regular,13,Coaches Poll,23,NC State,ACC,0
2010,regular,13,Coaches Poll,24,Iowa,Big Ten,0
2010,regular,13,Coaches Poll,25,Mississippi State,SEC,0
2010,regular,14,BCS Standings,1,Auburn,SEC,0
2010,regular,14,BCS Standings,2,Oregon,Pac-10,0
2010,regular,14,BCS Standings,3,TCU,Mountain West,0
2010,regular,14,BCS Standings,4,Stanford,Pac-10,0
2010,regular,14,BCS Standings,5,Wisconsin,Big Ten,0
2010,regular,14,BCS Standings,6,Ohio State,Big Ten,0
2010,regular,14,BCS Standings,7,Arkansas,SEC,0
2010,regular,14,BCS Standings,8,Michigan State,Big Ten,0
2010,regular,14,BCS Standings,9,Oklahoma,Big 12,0
2010,regular,14,BCS Standings,10,LSU,SEC,0
2010,regular,14,BCS Standings,11,Boise State,Western Athletic,0
2010,regular,14,BCS Standings,12,Missouri,Big 12,0
2010,regular,14,BCS Standings,13,Nebraska,Big 12,0
2010,regular,14,BCS Standings,14,Oklahoma State,Big 12,0
2010,regular,14,BCS Standings,15,Virginia Tech,ACC,0
2010,regular,14,BCS Standings,16,Alabama,SEC,0
2010,regular,14,BCS Standings,17,Nevada,Western Athletic,0
2010,regular,14,BCS Standings,18,Texas A&M,Big 12,0
2010,regular,14,BCS Standings,19,South Carolina,SEC,0
2010,regular,14,BCS Standings,20,Utah,Mountain West,0
2010,regular,14,BCS Standings,21,Florida State,ACC,0
2010,regular,14,BCS Standings,22,Mississippi State,SEC,0
2010,regular,14,BCS Standings,23,Arizona,Pac-10,0
2010,regular,14,BCS Standings,24,West Virginia,Big East,0
2010,regular,14,BCS Standings,25,Northern Illinois,Mid-American,0
2010,regular,14,AP Top 25,1,Oregon,Pac-10,36
2010,regular,14,AP Top 25,2,Auburn,SEC,23
2010,regular,14,AP Top 25,3,TCU,Mountain West,1
2010,regular,14,AP Top 25,4,Wisconsin,Big Ten,0
2010,regular,14,AP Top 25,5,Stanford,Pac-10,0
2010,regular,14,AP Top 25,6,Ohio State,Big Ten,0
2010,regular,14,AP Top 25,7,Michigan State,Big Ten,0
2010,regular,14,AP Top 25,8,Arkansas,SEC,0
2010,regular,14,AP Top 25,9,Boise State,Western Athletic,0
2010,regular,14,AP Top 25,10,Oklahoma,Big 12,0
2010,regular,14,AP Top 25,11,LSU,SEC,0
2010,regular,14,AP Top 25,12,Virginia Tech,ACC,0
2010,regular,14,AP Top 25,13,Nebraska,Big 12,0
2010,regular,14,AP Top 25,14,Nevada,Western Athletic,0
2010,regular,14,AP Top 25,15,Missouri,Big 12,0
2010,regular,14,AP Top 25,16,Oklahoma State,Big 12,0
2010,regular,14,AP Top 25,17,Alabama,SEC,0
2010,regular,14,AP Top 25,18,South Carolina,SEC,0
2010,regular,14,AP Top 25,19,Texas A&M,Big 12,0
2010,regular,14,AP Top 25,20,Florida State,ACC,0
2010,regular,14,AP Top 25,21,Utah,Mountain West,0
2010,regular,14,AP Top 25,22,Mississippi State,SEC,0
2010,regular,14,AP Top 25,23,West Virginia,Big East,0
2010,regular,14,AP Top 25,24,Northern Illinois,Mid-American,0
2010,regular,14,AP Top 25,25,Hawai'i,Western Athletic,0
2010,regular,14,Coaches Poll,1,Oregon,Pac-10,46
2010,regular,14,Coaches Poll,2,Auburn,SEC,10
2010,regular,14,Coaches Poll,3,TCU,Mountain West,3
2010,regular,14,Coaches Poll,4,Wisconsin,Big Ten,0
2010,regular,14,Coaches Poll,5,Stanford,Pac-10,0
2010,regular,14,Coaches Poll,6,Ohio State,Big Ten,0
2010,regular,14,Coaches Poll,7,Michigan State,Big Ten,0
2010,regular,14,Coaches Poll,8,Arkansas,SEC,0
2010,regular,14,Coaches Poll,9,Oklahoma,Big 12,0
2010,regular,14,Coaches Poll,10,Boise State,Western Athletic,0
2010,regular,14,Coaches Poll,11,Virginia Tech,ACC,0
2010,regular,14,Coaches Poll,12,LSU,SEC,0
2010,regular,14,Coaches Poll,13,Nebraska,Big 12,0
2010,regular,14,Coaches Poll,14,Missouri,Big 12,0
2010,regular,14,Coaches Poll,15,Oklahoma State,Big 12,0
2010,regular,14,Coaches Poll,16,South Carolina,SEC,0
2010,regular,14,Coaches Poll,17,Nevada,Western Athletic,0
2010,regular,14,Coaches Poll,18,Texas A&M,Big 12,0
2010,regular,14,Coaches Poll,19,Alabama,SEC,0
2010,regular,14,Coaches Poll,20,Florida State,ACC,0
2010,regular,14,Coaches Poll,21,Utah,Mountain West,0
2010,regular,14,Coaches Poll,22,Mississippi State,SEC,0
2010,regular,14,Coaches Poll,23,Northern Illinois,Mid-American,0
2010,regular,14,Coaches Poll,24,West Virginia,Big East,0
2010,regular,14,Coaches Poll,25,UCF,Conference USA,0
2010,regular,15,BCS Standings,1,Auburn,SEC,0
2010,regular,15,BCS Standings,2,Oregon,Pac-10,0
2010,regular,15,BCS Standings,3,TCU,Mountain West,0
2010,regular,15,BCS Standings,4,Stanford,Pac-10,0
2010,regular,15,BCS Standings,5,Wisconsin,Big Ten,0
2010,regular,15,BCS Standings,6,Ohio State,Big Ten,0
2010,regular,15,BCS Standings,7,Oklahoma,Big 12,0
2010,regular,15,BCS Standings,8,Arkansas,SEC,0
2010,regular,15,BCS Standings,9,Michigan State,Big Ten,0
2010,regular,15,BCS Standings,10,Boise State,Western Athletic,0
2010,regular,15,BCS Standings,11,LSU,SEC,0
2010,regular,15,BCS Standings,12,Missouri,Big 12,0
2010,regular,15,BCS Standings,13,Virginia Tech,ACC,0
2010,regular,15,BCS Standings,14,Oklahoma State,Big 12,0
2010,regular,15,BCS Standings,15,Nevada,Western Athletic,0
2010,regular,15,BCS Standings,16,Alabama,SEC,0
2010,regular,15,BCS Standings,17,Texas A&M,Big 12,0
2010,regular,15,BCS Standings,18,Nebraska,Big 12,0
2010,regular,15,BCS Standings,19,Utah,Mountain West,0
2010,regular,15,BCS Standings,20,South Carolina,SEC,0
2010,regular,15,BCS Standings,21,Mississippi State,SEC,0
2010,regular,15,BCS Standings,22,West Virginia,Big East,0
2010,regular,15,BCS Standings,23,Florida State,ACC,0
2010,regular,15,BCS Standings,24,Hawai'i,Western Athletic,0
2010,regular,15,BCS Standings,25,UCF,Conference USA,0
2010,regular,15,AP Top 25,1,Auburn,SEC,36
2010,regular,15,AP Top 25,2,Oregon,Pac-10,23
2010,regular,15,AP Top 25,3,TCU,Mountain West,1
2010,regular,15,AP Top 25,4,Wisconsin,Big Ten,0
2010,regular,15,AP Top 25,5,Stanford,Pac-10,0
2010,regular,15,AP Top 25,6,Ohio State,Big Ten,0
2010,regular,15,AP Top 25,7,Michigan State,Big Ten,0
2010,regular,15,AP Top 25,8,Arkansas,SEC,0
2010,regular,15,AP Top 25,9,Oklahoma,Big 12,0
2010,regular,15,AP Top 25,10,Boise State,Western Athletic,0
2010,regular,15,AP Top 25,11,LSU,SEC,0
2010,regular,15,AP Top 25,12,Virginia Tech,ACC,0
2010,regular,15,AP Top 25,13,Nevada,Western Athletic,0
2010,regular,15,AP Top 25,14,Missouri,Big 12,0
2010,regular,15,AP Top 25,15,Alabama,SEC,0
2010,regular,15,AP Top 25,16,Oklahoma State,Big 12,0
2010,regular,15,AP Top 25,17,Nebraska,Big 12,0
2010,regular,15,AP Top 25,18,Texas A&M,Big 12,0
2010,regular,15,AP Top 25,19,South Carolina,SEC,0
2010,regular,15,AP Top 25,20,Utah,Mountain West,0
2010,regular,15,AP Top 25,21,Mississippi State,SEC,0
2010,regular,15,AP Top 25,22,West Virginia,Big East,0
2010,regular,15,AP Top 25,23,Florida State,ACC,0
2010,regular,15,AP Top 25,24,Hawai'i,Western Athletic,0
2010,regular,15,AP Top 25,25,UConn,Big East,0
2010,regular,15,Coaches Poll,1,Oregon,Pac-10,34
2010,regular,15,Coaches Poll,2,Auburn,SEC,24
2010,regular,15,Coaches Poll,3,TCU,Mountain West,1
2010,regular,15,Coaches Poll,4,Wisconsin,Big Ten,0
