season,season_type,week,poll,rank,school,conference,first_place_votes
2014,regular,6,Coaches Poll,11,Ole Miss,SEC,0
2014,regular,6,Coaches Poll,12,Georgia,SEC,0
2014,regular,6,Coaches Poll,13,Stanford,Pac-12,0
2014,regular,6,Coaches Poll,14,Mississippi State,SEC,0
2014,regular,6,Coaches Poll,15,LSU,SEC,0
2014,regular,6,Coaches Poll,16,Wisconsin,Big Ten,0
2014,regular,6,Coaches Poll,17,Nebraska,Big Ten,0
2014,regular,6,Coaches Poll,18,Ohio State,Big Ten,0
2014,regular,6,Coaches Poll,19,BYU,FBS Independents,0
2014,regular,6,Coaches Poll,20,USC,Pac-12,0
2014,regular,6,Coaches Poll,21,East Carolina,American Athletic,0
2014,regular,6,Coaches Poll,22,Kansas State,Big 12,0
2014,regular,6,Coaches Poll,23,Oklahoma State,Big 12,0
2014,regular,6,Coaches Poll,24,Arizona State,Pac-12,0
2014,regular,6,Coaches Poll,25,TCU,Big 12,0
2014,regular,6,FCS Coaches Poll,1,North Dakota State,MVFC,26
2014,regular,6,FCS Coaches Poll,2,Eastern Washington,Big Sky,0
2014,regular,6,FCS Coaches Poll,3,Coastal Carolina,Big South,0
2014,regular,6,FCS Coaches Poll,4,McNeese,Southland,0
2014,regular,6,FCS Coaches Poll,5,Villanova,CAA,0
2014,regular,6,FCS Coaches Poll,6,New Hampshire,CAA,0
2014,regular,6,FCS Coaches Poll,7,Montana,Big Sky,0
2014,regular,6,FCS Coaches Poll,8,Jacksonville State,OVC,0
2014,regular,6,FCS Coaches Poll,9,South Dakota State,MVFC,0
2014,regular,6,FCS Coaches Poll,10,Northern Iowa,MVFC,0
2014,regular,6,FCS Coaches Poll,11,SE Louisiana,Southland,0
2014,regular,6,FCS Coaches Poll,12,Youngstown State,MVFC,0
2014,regular,6,FCS Coaches Poll,13,William & Mary,CAA,0
2014,regular,6,FCS Coaches Poll,14,Chattanooga,Southern,0
2014,regular,6,FCS Coaches Poll,15,Montana State,Big Sky,0
2014,regular,6,FCS Coaches Poll,16,Southern Illinois,MVFC,0
2014,regular,6,FCS Coaches Poll,17,Bethune-Cookman,MEAC,0
2014,regular,6,FCS Coaches Poll,18,Eastern Kentucky,OVC,0
2014,regular,6,FCS Coaches Poll,19,Fordham,Patriot,0
2014,regular,6,FCS Coaches Poll,20,Tennessee State,OVC,0
2014,regular,6,FCS Coaches Poll,21,Richmond,CAA,0
2014,regular,6,FCS Coaches Poll,22,Illinois State,MVFC,0
2014,regular,6,FCS Coaches Poll,23,Missouri State,MVFC,0
2014,regular,6,FCS Coaches Poll,24,Charleston Southern,Big South,0
2014,regular,6,FCS Coaches Poll,25,Northern Arizona,Big Sky,0
2014,regular,6,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,30
2014,regular,6,AFCA Division II Coaches Poll,2,CSU Pueblo,Rocky Mountain,1
2014,regular,6,AFCA Division II Coaches Poll,3,Minnesota State Mankato,Northern Sun,0
2014,regular,6,AFCA Division II Coaches Poll,4,Minnesota Duluth,Northern Sun,0
2014,regular,6,AFCA Division II Coaches Poll,5,North Alabama,Gulf South,0
2014,regular,6,AFCA Division II Coaches Poll,6,Lenoir-Rhyne,South Atlantic,0
2014,regular,6,AFCA Division II Coaches Poll,7,Henderson State,Great American,0
2014,regular,6,AFCA Division II Coaches Poll,8,Ohio Dominican,GLIAC,0
2014,regular,6,AFCA Division II Coaches Poll,9,West Chester,Pennsylvania State Athletic,0
2014,regular,6,AFCA Division II Coaches Poll,10,Shepherd,Mountain East,0
2014,regular,6,AFCA Division II Coaches Poll,11,Delta State,Gulf South,0
2014,regular,6,AFCA Division II Coaches Poll,12,Bloomsburg,Pennsylvania State Athletic,0
2014,regular,6,AFCA Division II Coaches Poll,13,Ferris State,GLIAC,0
2014,regular,6,AFCA Division II Coaches Poll,14,Winston-Salem,CIAA,0
2014,regular,6,AFCA Division II Coaches Poll,15,Harding University,Great American,0
2014,regular,6,AFCA Division II Coaches Poll,16,Midwestern State,Lone Star,0
2014,regular,6,AFCA Division II Coaches Poll,17,Colorado School Of Mines,Rocky Mountain,0
2014,regular,6,AFCA Division II Coaches Poll,18,Carson-Newman College,South Atlantic,0
2014,regular,6,AFCA Division II Coaches Poll,19,Pittsburg St,Mid America,0
2014,regular,6,AFCA Division II Coaches Poll,20,Slippery Rock,Pennsylvania State Athletic,0
2014,regular,6,AFCA Division II Coaches Poll,21,Sioux Falls,Northern Sun,0
2014,regular,6,AFCA Division II Coaches Poll,22,West Alabama,Gulf South,0
2014,regular,6,AFCA Division II Coaches Poll,23,Michigan Tech,GLIAC,0
2014,regular,6,AFCA Division II Coaches Poll,24,West Georgia,Gulf South,0
2014,regular,6,AFCA Division II Coaches Poll,25,Winona State,Northern Sun,0
2014,regular,7,AP Top 25,1,Florida State,ACC,35
2014,regular,7,AP Top 25,2,Auburn,SEC,23
2014,regular,7,AP Top 25,3,Mississippi State,SEC,2
2014,regular,7,AP Top 25,3,Ole Miss,SEC,0
2014,regular,7,AP Top 25,5,Baylor,Big 12,0
2014,regular,7,AP Top 25,6,Notre Dame,FBS Independents,0
2014,regular,7,AP Top 25,7,Alabama,SEC,0
2014,regular,7,AP Top 25,8,Michigan State,Big Ten,0
2014,regular,7,AP Top 25,9,TCU,Big 12,0
2014,regular,7,AP Top 25,10,Arizona,Pac-12,0
2014,regular,7,AP Top 25,11,Oklahoma,Big 12,0
2014,regular,7,AP Top 25,12,Oregon,Pac-12,0
2014,regular,7,AP Top 25,13,Georgia,SEC,0
2014,regular,7,AP Top 25,14,Texas A&M,SEC,0
2014,regular,7,AP Top 25,15,Ohio State,Big Ten,0
2014,regular,7,AP Top 25,16,Oklahoma State,Big 12,0
2014,regular,7,AP Top 25,17,Kansas State,Big 12,0
2014,regular,7,AP Top 25,18,UCLA,Pac-12,0
2014,regular,7,AP Top 25,19,East Carolina,American Athletic,0
2014,regular,7,AP Top 25,20,Arizona State,Pac-12,0
2014,regular,7,AP Top 25,21,Nebraska,Big Ten,0
2014,regular,7,AP Top 25,22,Georgia Tech,ACC,0
2014,regular,7,AP Top 25,23,Missouri,SEC,0
2014,regular,7,AP Top 25,24,Utah,Pac-12,0
2014,regular,7,AP Top 25,25,Stanford,Pac-12,0
2014,regular,7,Coaches Poll,1,Florida State,ACC,44
2014,regular,7,Coaches Poll,2,Auburn,SEC,16
2014,regular,7,Coaches Poll,3,Baylor,Big 12,1
2014,regular,7,Coaches Poll,4,Ole Miss,SEC,0
2014,regular,7,Coaches Poll,5,Notre Dame,FBS Independents,0
2014,regular,7,Coaches Poll,6,Mississippi State,SEC,0
2014,regular,7,Coaches Poll,7,Alabama,SEC,0
2014,regular,7,Coaches Poll,8,Michigan State,Big Ten,0
2014,regular,7,Coaches Poll,9,Oklahoma,Big 12,0
2014,regular,7,Coaches Poll,10,Georgia,SEC,0
2014,regular,7,Coaches Poll,11,Oregon,Pac-12,0
2014,regular,7,Coaches Poll,12,TCU,Big 12,0
2014,regular,7,Coaches Poll,13,Arizona,Pac-12,0
2014,regular,7,Coaches Poll,14,Texas A&M,SEC,0
2014,regular,7,Coaches Poll,15,Ohio State,Big Ten,0
2014,regular,7,Coaches Poll,16,Kansas State,Big 12,0
2014,regular,7,Coaches Poll,17,UCLA,Pac-12,0
2014,regular,7,Coaches Poll,18,Oklahoma State,Big 12,0
2014,regular,7,Coaches Poll,19,East Carolina,American Athletic,0
2014,regular,7,Coaches Poll,20,Arizona State,Pac-12,0
2014,regular,7,Coaches Poll,21,Nebraska,Big Ten,0
2014,regular,7,Coaches Poll,22,Stanford,Pac-12,0
2014,regular,7,Coaches Poll,23,Georgia Tech,ACC,0
2014,regular,7,Coaches Poll,24,Missouri,SEC,0
2014,regular,7,Coaches Poll,25,Clemson,ACC,0
2014,regular,7,FCS Coaches Poll,1,North Dakota State,MVFC,25
2014,regular,7,FCS Coaches Poll,2,Eastern Washington,Big Sky,1
2014,regular,7,FCS Coaches Poll,3,Coastal Carolina,Big South,0
2014,regular,7,FCS Coaches Poll,4,McNeese,Southland,0
2014,regular,7,FCS Coaches Poll,5,Villanova,CAA,0
2014,regular,7,FCS Coaches Poll,6,New Hampshire,CAA,0
2014,regular,7,FCS Coaches Poll,7,Montana,Big Sky,0
2014,regular,7,FCS Coaches Poll,8,Jacksonville State,OVC,0
2014,regular,7,FCS Coaches Poll,9,SE Louisiana,Southland,0
2014,regular,7,FCS Coaches Poll,10,Youngstown State,MVFC,0
2014,regular,7,FCS Coaches Poll,11,William & Mary,CAA,0
2014,regular,7,FCS Coaches Poll,12,Chattanooga,Southern,0
2014,regular,7,FCS Coaches Poll,13,Southern Illinois,MVFC,0
2014,regular,7,FCS Coaches Poll,14,Montana State,Big Sky,0
2014,regular,7,FCS Coaches Poll,15,Illinois State,MVFC,0
2014,regular,7,FCS Coaches Poll,16,Eastern Kentucky,OVC,0
2014,regular,7,FCS Coaches Poll,17,Bethune-Cookman,MEAC,0
2014,regular,7,FCS Coaches Poll,18,Fordham,Patriot,0
2014,regular,7,FCS Coaches Poll,19,South Dakota State,MVFC,0
2014,regular,7,FCS Coaches Poll,20,Richmond,CAA,0
2014,regular,7,FCS Coaches Poll,21,Northern Iowa,MVFC,0
2014,regular,7,FCS Coaches Poll,22,Indiana State,MVFC,0
2014,regular,7,FCS Coaches Poll,23,Charleston Southern,Big South,0
2014,regular,7,FCS Coaches Poll,24,Alcorn State,SWAC,0
2014,regular,7,FCS Coaches Poll,25,Tennessee State,OVC,0
2014,regular,7,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,30
2014,regular,7,AFCA Division II Coaches Poll,2,CSU Pueblo,Rocky Mountain,1
2014,regular,7,AFCA Division II Coaches Poll,3,Minnesota State Mankato,Northern Sun,0
2014,regular,7,AFCA Division II Coaches Poll,4,Minnesota Duluth,Northern Sun,0
2014,regular,7,AFCA Division II Coaches Poll,5,North Alabama,Gulf South,0
2014,regular,7,AFCA Division II Coaches Poll,6,Lenoir-Rhyne,South Atlantic,0
2014,regular,7,AFCA Division II Coaches Poll,7,Henderson State,Great American,0
2014,regular,7,AFCA Division II Coaches Poll,8,Ohio Dominican,GLIAC,0
2014,regular,7,AFCA Division II Coaches Poll,9,Shepherd,Mountain East,0
2014,regular,7,AFCA Division II Coaches Poll,10,West Chester,Pennsylvania State Athletic,0
2014,regular,7,AFCA Division II Coaches Poll,11,Delta State,Gulf South,0
2014,regular,7,AFCA Division II Coaches Poll,12,Bloomsburg,Pennsylvania State Athletic,0
2014,regular,7,AFCA Division II Coaches Poll,13,Ferris State,GLIAC,0
2014,regular,7,AFCA Division II Coaches Poll,14,Harding University,Great American,0
2014,regular,7,AFCA Division II Coaches Poll,15,Winston-Salem,CIAA,0
2014,regular,7,AFCA Division II Coaches Poll,16,Colorado School Of Mines,Rocky Mountain,0
2014,regular,7,AFCA Division II Coaches Poll,17,Carson-Newman College,South Atlantic,0
2014,regular,7,AFCA Division II Coaches Poll,18,Pittsburg St,Mid America,0
2014,regular,7,AFCA Division II Coaches Poll,19,Slippery Rock,Pennsylvania State Athletic,0
2014,regular,7,AFCA Division II Coaches Poll,20,Sioux Falls,Northern Sun,0
2014,regular,7,AFCA Division II Coaches Poll,21,West Georgia,Gulf South,0
2014,regular,7,AFCA Division II Coaches Poll,22,Michigan Tech,GLIAC,0
2014,regular,7,AFCA Division II Coaches Poll,23,Concord University,Mountain East,0
2014,regular,7,AFCA Division II Coaches Poll,24,Humboldt State,Great Northwest,0
2014,regular,7,AFCA Division II Coaches Poll,25,Midwestern State,Lone Star,0
2014,regular,8,AP Top 25,1,Mississippi State,SEC,45
2014,regular,8,AP Top 25,2,Florida State,ACC,12
2014,regular,8,AP Top 25,3,Ole Miss,SEC,3
2014,regular,8,AP Top 25,4,Baylor,Big 12,0
2014,regular,8,AP Top 25,5,Notre Dame,FBS Independents,0
2014,regular,8,AP Top 25,6,Auburn,SEC,0
2014,regular,8,AP Top 25,7,Alabama,SEC,0
2014,regular,8,AP Top 25,8,Michigan State,Big Ten,0
2014,regular,8,AP Top 25,9,Oregon,Pac-12,0
2014,regular,8,AP Top 25,10,Georgia,SEC,0
2014,regular,8,AP Top 25,11,Oklahoma,Big 12,0
2014,regular,8,AP Top 25,12,TCU,Big 12,0
2014,regular,8,AP Top 25,13,Ohio State,Big Ten,0
2014,regular,8,AP Top 25,14,Kansas State,Big 12,0
2014,regular,8,AP Top 25,15,Oklahoma State,Big 12,0
2014,regular,8,AP Top 25,16,Arizona,Pac-12,0
2014,regular,8,AP Top 25,17,Arizona State,Pac-12,0
2014,regular,8,AP Top 25,18,East Carolina,American Athletic,0
2014,regular,8,AP Top 25,19,Nebraska,Big Ten,0
2014,regular,8,AP Top 25,20,Utah,Pac-12,0
2014,regular,8,AP Top 25,21,Texas A&M,SEC,0
2014,regular,8,AP Top 25,22,USC,Pac-12,0
2014,regular,8,AP Top 25,23,Stanford,Pac-12,0
2014,regular,8,AP Top 25,24,Clemson,ACC,0
2014,regular,8,AP Top 25,25,Marshall,Conference USA,0
2014,regular,8,Coaches Poll,1,Mississippi State,SEC,26
2014,regular,8,Coaches Poll,2,Florida State,ACC,31
2014,regular,8,Coaches Poll,3,Ole Miss,SEC,5
2014,regular,8,Coaches Poll,4,Baylor,Big 12,0
2014,regular,8,Coaches Poll,5,Notre Dame,FBS Independents,0
2014,regular,8,Coaches Poll,6,Michigan State,Big Ten,0
2014,regular,8,Coaches Poll,7,Alabama,SEC,0
2014,regular,8,Coaches Poll,8,Auburn,SEC,0
2014,regular,8,Coaches Poll,9,Oregon,Pac-12,0
2014,regular,8,Coaches Poll,10,Georgia,SEC,0
2014,regular,8,Coaches Poll,11,Oklahoma,Big 12,0
2014,regular,8,Coaches Poll,12,TCU,Big 12,0
2014,regular,8,Coaches Poll,13,Ohio State,Big Ten,0
2014,regular,8,Coaches Poll,14,Kansas State,Big 12,0
2014,regular,8,Coaches Poll,15,Oklahoma State,Big 12,0
2014,regular,8,Coaches Poll,16,East Carolina,American Athletic,0
2014,regular,8,Coaches Poll,17,Arizona,Pac-12,0
2014,regular,8,Coaches Poll,18,Arizona State,Pac-12,0
2014,regular,8,Coaches Poll,19,Nebraska,Big Ten,0
2014,regular,8,Coaches Poll,20,Stanford,Pac-12,0
2014,regular,8,Coaches Poll,21,Texas A&M,SEC,0
2014,regular,8,Coaches Poll,22,Clemson,ACC,0
2014,regular,8,Coaches Poll,23,Utah,Pac-12,0
2014,regular,8,Coaches Poll,24,Marshall,Conference USA,0
2014,regular,8,Coaches Poll,25,USC,Pac-12,0
2014,regular,8,FCS Coaches Poll,1,North Dakota State,MVFC,26
2014,regular,8,FCS Coaches Poll,2,Eastern Washington,Big Sky,0
2014,regular,8,FCS Coaches Poll,3,Coastal Carolina,Big South,0
2014,regular,8,FCS Coaches Poll,4,Villanova,CAA,0
2014,regular,8,FCS Coaches Poll,5,New Hampshire,CAA,0
2014,regular,8,FCS Coaches Poll,6,Montana,Big Sky,0
2014,regular,8,FCS Coaches Poll,7,Jacksonville State,OVC,0
2014,regular,8,FCS Coaches Poll,8,SE Louisiana,Southland,0
2014,regular,8,FCS Coaches Poll,9,Illinois State,MVFC,0
2014,regular,8,FCS Coaches Poll,10,McNeese,Southland,0
2014,regular,8,FCS Coaches Poll,11,Montana State,Big Sky,0
2014,regular,8,FCS Coaches Poll,12,Eastern Kentucky,OVC,0
2014,regular,8,FCS Coaches Poll,13,Fordham,Patriot,0
2014,regular,8,FCS Coaches Poll,14,Bethune-Cookman,MEAC,0
2014,regular,8,FCS Coaches Poll,15,Chattanooga,Southern,0
2014,regular,8,FCS Coaches Poll,16,South Dakota State,MVFC,0
2014,regular,8,FCS Coaches Poll,17,Southern Illinois,MVFC,0
2014,regular,8,FCS Coaches Poll,18,William & Mary,CAA,0
2014,regular,8,FCS Coaches Poll,19,Youngstown State,MVFC,0
2014,regular,8,FCS Coaches Poll,20,Richmond,CAA,0
2014,regular,8,FCS Coaches Poll,21,Northern Iowa,MVFC,0
2014,regular,8,FCS Coaches Poll,22,Charleston Southern,Big South,0
2014,regular,8,FCS Coaches Poll,23,Indiana State,MVFC,0
2014,regular,8,FCS Coaches Poll,24,Harvard,Ivy,0
2014,regular,8,FCS Coaches Poll,25,Sam Houston,Southland,0
2014,regular,8,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,31
2014,regular,8,AFCA Division II Coaches Poll,2,Minnesota State Mankato,Northern Sun,0
2014,regular,8,AFCA Division II Coaches Poll,3,Minnesota Duluth,Northern Sun,0
2014,regular,8,AFCA Division II Coaches Poll,4,North Alabama,Gulf South,0
2014,regular,8,AFCA Division II Coaches Poll,5,Lenoir-Rhyne,South Atlantic,0
2014,regular,8,AFCA Division II Coaches Poll,6,Henderson State,Great American,0
2014,regular,8,AFCA Division II Coaches Poll,7,Ohio Dominican,GLIAC,0
2014,regular,8,AFCA Division II Coaches Poll,8,Shepherd,Mountain East,0
2014,regular,8,AFCA Division II Coaches Poll,9,Delta State,Gulf South,0
2014,regular,8,AFCA Division II Coaches Poll,10,West Chester,Pennsylvania State Athletic,0
2014,regular,8,AFCA Division II Coaches Poll,11,Ferris State,GLIAC,0
2014,regular,8,AFCA Division II Coaches Poll,12,Bloomsburg,Pennsylvania State Athletic,0
2014,regular,8,AFCA Division II Coaches Poll,13,Harding University,Great American,0
2014,regular,8,AFCA Division II Coaches Poll,14,CSU Pueblo,Rocky Mountain,0
2014,regular,8,AFCA Division II Coaches Poll,15,Colorado School Of Mines,Rocky Mountain,0
2014,regular,8,AFCA Division II Coaches Poll,16,Winston-Salem,CIAA,0
2014,regular,8,AFCA Division II Coaches Poll,17,Pittsburg St,Mid America,0
2014,regular,8,AFCA Division II Coaches Poll,18,Carson-Newman College,South Atlantic,0
2014,regular,8,AFCA Division II Coaches Poll,19,Sioux Falls,Northern Sun,0
2014,regular,8,AFCA Division II Coaches Poll,20,Michigan Tech,GLIAC,0
2014,regular,8,AFCA Division II Coaches Poll,21,Concord University,Mountain East,0
2014,regular,8,AFCA Division II Coaches Poll,22,Ouachita Baptist,Great American,0
2014,regular,8,AFCA Division II Coaches Poll,23,East Texas A&M,Lone Star,0
2014,regular,8,AFCA Division II Coaches Poll,24,Ashland,GLIAC,0
2014,regular,8,AFCA Division II Coaches Poll,25,Azusa Pacific,Great Northwest,0
2014,regular,9,AP Top 25,1,Mississippi State,SEC,43
2014,regular,9,AP Top 25,2,Florida State,ACC,14
2014,regular,9,AP Top 25,3,Ole Miss,SEC,3
2014,regular,9,AP Top 25,4,Alabama,SEC,0
2014,regular,9,AP Top 25,5,Auburn,SEC,0
2014,regular,9,AP Top 25,6,Oregon,Pac-12,0
2014,regular,9,AP Top 25,7,Notre Dame,FBS Independents,0
2014,regular,9,AP Top 25,8,Michigan State,Big Ten,0
2014,regular,9,AP Top 25,9,Georgia,SEC,0
2014,regular,9,AP Top 25,10,TCU,Big 12,0
2014,regular,9,AP Top 25,11,Kansas State,Big 12,0
2014,regular,9,AP Top 25,12,Baylor,Big 12,0
2014,regular,9,AP Top 25,13,Ohio State,Big Ten,0
2014,regular,9,AP Top 25,14,Arizona State,Pac-12,0
2014,regular,9,AP Top 25,15,Arizona,Pac-12,0
2014,regular,9,AP Top 25,16,Nebraska,Big Ten,0
2014,regular,9,AP Top 25,17,Oklahoma,Big 12,0
2014,regular,9,AP Top 25,18,East Carolina,American Athletic,0
2014,regular,9,AP Top 25,19,Utah,Pac-12,0
2014,regular,9,AP Top 25,20,USC,Pac-12,0
2014,regular,9,AP Top 25,21,Clemson,ACC,0
2014,regular,9,AP Top 25,22,West Virginia,Big 12,0
2014,regular,9,AP Top 25,23,Marshall,Conference USA,0
2014,regular,9,AP Top 25,24,LSU,SEC,0
2014,regular,9,AP Top 25,25,UCLA,Pac-12,0
2014,regular,9,Coaches Poll,1,Mississippi State,SEC,36
2014,regular,9,Coaches Poll,2,Florida State,ACC,22
2014,regular,9,Coaches Poll,3,Ole Miss,SEC,4
2014,regular,9,Coaches Poll,4,Alabama,SEC,0
2014,regular,9,Coaches Poll,5,Michigan State,Big Ten,0
2014,regular,9,Coaches Poll,6,Auburn,SEC,0
2014,regular,9,Coaches Poll,7,Oregon,Pac-12,0
2014,regular,9,Coaches Poll,8,Notre Dame,FBS Independents,0
2014,regular,9,Coaches Poll,9,Georgia,SEC,0
2014,regular,9,Coaches Poll,10,TCU,Big 12,0
2014,regular,9,Coaches Poll,11,Kansas State,Big 12,0
2014,regular,9,Coaches Poll,12,Ohio State,Big Ten,0
2014,regular,9,Coaches Poll,13,Baylor,Big 12,0
2014,regular,9,Coaches Poll,14,Arizona State,Pac-12,0
2014,regular,9,Coaches Poll,15,Arizona,Pac-12,0
2014,regular,9,Coaches Poll,16,Nebraska,Big Ten,0
2014,regular,9,Coaches Poll,17,East Carolina,American Athletic,0
2014,regular,9,Coaches Poll,18,Oklahoma,Big 12,0
2014,regular,9,Coaches Poll,19,Utah,Pac-12,0
2014,regular,9,Coaches Poll,20,Clemson,ACC,0
2014,regular,9,Coaches Poll,21,USC,Pac-12,0
2014,regular,9,Coaches Poll,22,Marshall,Conference USA,0
2014,regular,9,Coaches Poll,23,LSU,SEC,0
2014,regular,9,Coaches Poll,24,Minnesota,Big Ten,0
2014,regular,9,Coaches Poll,25,West Virginia,Big 12,0
2014,regular,9,FCS Coaches Poll,1,North Dakota State,MVFC,26
2014,regular,9,FCS Coaches Poll,2,Eastern Washington,Big Sky,0
2014,regular,9,FCS Coaches Poll,3,Coastal Carolina,Big South,0
2014,regular,9,FCS Coaches Poll,4,Villanova,CAA,0
2014,regular,9,FCS Coaches Poll,5,New Hampshire,CAA,0
2014,regular,9,FCS Coaches Poll,6,Montana,Big Sky,0
2014,regular,9,FCS Coaches Poll,7,Jacksonville State,OVC,0
2014,regular,9,FCS Coaches Poll,8,SE Louisiana,Southland,0
2014,regular,9,FCS Coaches Poll,9,Illinois State,MVFC,0
2014,regular,9,FCS Coaches Poll,10,McNeese,Southland,0
2014,regular,9,FCS Coaches Poll,11,Montana State,Big Sky,0
2014,regular,9,FCS Coaches Poll,12,Fordham,Patriot,0
2014,regular,9,FCS Coaches Poll,13,Bethune-Cookman,MEAC,0
2014,regular,9,FCS Coaches Poll,14,Chattanooga,Southern,0
2014,regular,9,FCS Coaches Poll,15,South Dakota State,MVFC,0
2014,regular,9,FCS Coaches Poll,16,Youngstown State,MVFC,0
2014,regular,9,FCS Coaches Poll,17,Richmond,CAA,0
2014,regular,9,FCS Coaches Poll,18,Eastern Kentucky,OVC,0
2014,regular,9,FCS Coaches Poll,19,Southern Illinois,MVFC,0
2014,regular,9,FCS Coaches Poll,20,William & Mary,CAA,0
2014,regular,9,FCS Coaches Poll,21,Harvard,Ivy,0
2014,regular,9,FCS Coaches Poll,22,Sacred Heart,NEC,0
2014,regular,9,FCS Coaches Poll,23,Northern Iowa,MVFC,0
2014,regular,9,FCS Coaches Poll,24,Indiana State,MVFC,0
2014,regular,9,FCS Coaches Poll,25,Bryant,NEC,0
2014,regular,9,AFCA Division II Coaches Poll,1,Minnesota State Mankato,Northern Sun,24
2014,regular,9,AFCA Division II Coaches Poll,2,Minnesota Duluth,Northern Sun,4
2014,regular,9,AFCA Division II Coaches Poll,3,North Alabama,Gulf South,2
2014,regular,9,AFCA Division II Coaches Poll,4,Henderson State,Great American,0
2014,regular,9,AFCA Division II Coaches Poll,5,Lenoir-Rhyne,South Atlantic,0
2014,regular,9,AFCA Division II Coaches Poll,6,Ferris State,GLIAC,0
2014,regular,9,AFCA Division II Coaches Poll,7,West Chester,Pennsylvania State Athletic,0
2014,regular,9,AFCA Division II Coaches Poll,8,Bloomsburg,Pennsylvania State Athletic,0
2014,regular,9,AFCA Division II Coaches Poll,9,Pittsburg St,Mid America,0
2014,regular,9,AFCA Division II Coaches Poll,10,Northwest Missouri St,Mid America,0
2014,regular,9,AFCA Division II Coaches Poll,11,Colorado School Of Mines,Rocky Mountain,0
2014,regular,9,AFCA Division II Coaches Poll,12,CSU Pueblo,Rocky Mountain,0
2014,regular,9,AFCA Division II Coaches Poll,13,Michigan Tech,GLIAC,0
2014,regular,9,AFCA Division II Coaches Poll,14,Sioux Falls,Northern Sun,0
2014,regular,9,AFCA Division II Coaches Poll,15,Winston-Salem,CIAA,0
2014,regular,9,AFCA Division II Coaches Poll,16,Ohio Dominican,GLIAC,0
2014,regular,9,AFCA Division II Coaches Poll,17,Carson-Newman College,South Atlantic,0
2014,regular,9,AFCA Division II Coaches Poll,18,Ouachita Baptist,Great American,0
2014,regular,9,AFCA Division II Coaches Poll,19,Concord University,Mountain East,0
2014,regular,9,AFCA Division II Coaches Poll,20,Delta State,Gulf South,0
2014,regular,9,AFCA Division II Coaches Poll,21,Shepherd,Mountain East,0
2014,regular,9,AFCA Division II Coaches Poll,22,East Texas A&M,Lone Star,0
2014,regular,9,AFCA Division II Coaches Poll,23,Harding University,Great American,0
2014,regular,9,AFCA Division II Coaches Poll,24,Ashland,GLIAC,0
2014,regular,9,AFCA Division II Coaches Poll,25,Azusa Pacific,Great Northwest,0
2014,regular,10,Playoff Committee Rankings,1,Mississippi State,SEC,0
2014,regular,10,Playoff Committee Rankings,2,Florida State,ACC,0
2014,regular,10,Playoff Committee Rankings,3,Auburn,SEC,0
2014,regular,10,Playoff Committee Rankings,4,Ole Miss,SEC,0
2014,regular,10,Playoff Committee Rankings,5,Oregon,Pac-12,0
2014,regular,10,Playoff Committee Rankings,6,Alabama,SEC,0
2014,regular,10,Playoff Committee Rankings,7,TCU,Big 12,0
2014,regular,10,Playoff Committee Rankings,8,Michigan State,Big Ten,0
2014,regular,10,Playoff Committee Rankings,9,Kansas State,Big 12,0
2014,regular,10,Playoff Committee Rankings,10,Notre Dame,FBS Independents,0
2014,regular,10,Playoff Committee Rankings,11,Georgia,SEC,0
2014,regular,10,Playoff Committee Rankings,12,Arizona,Pac-12,0
2014,regular,10,Playoff Committee Rankings,13,Baylor,Big 12,0
2014,regular,10,Playoff Committee Rankings,14,Arizona State,Pac-12,0
2014,regular,10,Playoff Committee Rankings,15,Nebraska,Big Ten,0
2014,regular,10,Playoff Committee Rankings,16,Ohio State,Big Ten,0
2014,regular,10,Playoff Committee Rankings,17,Utah,Pac-12,0
2014,regular,10,Playoff Committee Rankings,18,Oklahoma,Big 12,0
2014,regular,10,Playoff Committee Rankings,19,LSU,SEC,0
2014,regular,10,Playoff Committee Rankings,20,West Virginia,Big 12,0
2014,regular,10,Playoff Committee Rankings,21,Clemson,ACC,0
2014,regular,10,Playoff Committee Rankings,22,UCLA,Pac-12,0
2014,regular,10,Playoff Committee Rankings,23,East Carolina,American Athletic,0
2014,regular,10,Playoff Committee Rankings,24,Duke,ACC,0
2014,regular,10,Playoff Committee Rankings,25,Louisville,ACC,0
2014,regular,10,AP Top 25,1,Mississippi State,SEC,46
2014,regular,10,AP Top 25,2,Florida State,ACC,14
2014,regular,10,AP Top 25,3,Alabama,SEC,0
2014,regular,10,AP Top 25,4,Auburn,SEC,0
2014,regular,10,AP Top 25,5,Oregon,Pac-12,0
2014,regular,10,AP Top 25,6,Notre Dame,FBS Independents,0
2014,regular,10,AP Top 25,7,Ole Miss,SEC,0
2014,regular,10,AP Top 25,8,Michigan State,Big Ten,0
2014,regular,10,AP Top 25,9,Georgia,SEC,0
2014,regular,10,AP Top 25,10,TCU,Big 12,0
2014,regular,10,AP Top 25,11,Kansas State,Big 12,0
2014,regular,10,AP Top 25,12,Baylor,Big 12,0
2014,regular,10,AP Top 25,13,Ohio State,Big Ten,0
2014,regular,10,AP Top 25,14,Arizona,Pac-12,0
2014,regular,10,AP Top 25,15,Arizona State,Pac-12,0
2014,regular,10,AP Top 25,16,LSU,SEC,0
